date,BU
2014-1-2,48.17073171
2014-1-8,49.3902439
2014-1-15,46.34146341
2014-1-22,50
2014-1-29,51.82926829
2014-2-6,49.3902439
2014-2-13,40.24390244
2014-2-20,33.53658537
2014-2-27,29.26829268
2014-3-5,28.04878049
2014-3-12,26.82926829
2014-3-19,23.7804878
2014-3-28,20.12195122
2014-4-2,17.68292683
2014-4-9,18.29268293
2014-4-16,20.73170732
2014-4-23,21.34146341
2014-4-30,25
2014-5-7,31.09756098
2014-5-14,31.70731707
2014-5-21,28.65853659
2014-5-28,25.6097561
2014-6-4,23.7804878
2014-6-11,22.56097561
2014-6-18,20.73170732
2014-6-25,18.90243902
2014-7-2,15.24390244
2014-7-16,18.29268293
2014-7-23,20.73170732
2014-7-30,24.3902439
2014-8-6,28.65853659
2014-8-13,31.09756098
2014-8-20,33.53658537
2014-8-27,32.31707317
2014-9-3,29.26829268
2014-9-10,29.26829268
2014-9-17,33.53658537
2014-9-24,32.31707317
2014-10-1,29.87804878
2014-10-8,27.43902439
2014-10-15,26.2195122
2014-10-23,24.3902439
2014-10-30,23.17073171
2014-11-5,25
2014-11-12,28.65853659
2014-11-19,31.09756098
2014-11-26,33.53658537
2014-12-3,37.80487805
2014-12-10,43.29268293
2014-12-17,45.73170732
2014-12-24,46.95121951
2015-1-4,48.17073171
2015-1-7,50.6097561
2015-1-14,48.17073171
2015-1-21,50
2015-1-28,51.82926829
2015-2-4,54.26829268
2015-2-11,50
2015-2-18,47.56097561
2015-2-25,44.51219512
2015-3-4,45.73170732
2015-3-11,41.46341463
2015-3-18,39.02439024
2015-3-25,36.58536585
2015-4-1,34.14634146
2015-4-8,36.58536585
2015-4-15,35.97560976
2015-4-22,39.02439024
2015-4-29,40.85365854
2015-5-6,40.24390244
2015-5-13,40.85365854
2015-5-20,35.97560976
2015-5-27,35.36585366
2015-6-3,37.19512195
2015-6-10,34.75609756
2015-6-17,29.87804878
2015-6-24,32.31707317
2015-7-1,34.14634146
2015-7-8,37.80487805
2015-7-15,37.19512195
2015-7-22,34.75609756
2015-7-29,31.09756098
2015-8-5,33
2015-8-12,36
2015-8-19,38
2015-8-26,41
2015-9-6,42
2015-9-9,39
2015-9-17,36
2015-9-23,30
2015-9-30,30
2015-10-8,31
2015-10-14,29
2015-10-21,27
2015-10-28,26
2015-11-4,24
2015-11-11,27
2015-11-18,29
2015-11-25,27
2015-12-2,30
2015-12-9,34
2015-12-16,33
2015-12-23,25
2015-12-30,24
2016-1-6,28
2016-1-13,30
2016-1-20,34
2016-1-27,37
2016-2-3,38
2016-2-10,47
2016-2-17,43
2016-2-24,40
2016-3-2,39
2016-3-9,32
2016-3-16,26
2016-3-23,29
2016-3-30,31
2016-4-6,33
2016-4-13,35
2016-4-20,38
2016-4-27,36
2016-5-4,38
2016-5-11,34
2016-5-18,31
2016-5-25,29
2016-6-1,27
2016-6-8,29
2016-6-15,31
2016-6-22,33
2016-6-29,27
2016-7-6,29
2016-7-13,27
2016-7-20,25
2016-7-27,22
2016-8-3,19
2016-8-10,17
2016-8-17,21
2016-8-24,26
2016-8-31,29
2016-9-7,31
2016-9-14,34
2016-9-21,38
2016-9-28,34
2016-10-12,25
2016-10-19,27
2016-10-26,23
2016-11-2,17
2016-11-9,16
2016-11-16,14
2016-11-23,13
2016-11-30,21
2016-12-7,21
2016-12-14,29
2016-12-21,31
2016-12-28,44
2017-1-4,48
2017-1-11,43
2017-1-18,40
2017-1-25,37
2017-2-1,31
2017-2-8,29
2017-2-15,28
2017-2-22,31
2017-3-1,29
2017-3-8,29
2017-3-15,26
2017-3-22,24
2017-3-29,22
2017-4-5,21
2017-4-12,22
2017-4-19,24
2017-4-26,26
2017-5-3,32
2017-5-10,33
2017-5-17,34
2017-5-24,23
2017-5-31,31
2017-6-7,30
2017-6-14,30
2017-6-21,35
2017-6-28,37
2017-7-5,34
2017-7-12,32
2017-7-19,35
2017-7-26,37
2017-8-2,34
2017-8-9,35
2017-8-16,36
2017-8-23,37
2017-8-30,33
2017-9-6,30
2017-9-13,23
2017-9-20,24
2017-9-27,25
2017-10-11,27
2017-10-18,21
2017-10-25,22
2017-11-1,23
2017-11-8,22
2017-11-15,27
2017-11-22,22
2017-11-29,22
2017-12-6,27
2017-12-13,30
2017-12-20,33
2017-12-27,34
2018-1-3,35
2018-1-10,37
2018-1-17,35
2018-1-24,30
2018-1-31,29
2018-2-7,27
2018-2-22,36
2018-2-28,38
2018-3-7,32
2018-3-14,27
2018-3-21,25
2018-3-28,24
2018-4-4,25
2018-4-11,25
2018-4-18,26
2018-4-25,26
2018-5-2,32
2018-5-9,33
2018-5-16,34
2018-5-23,23
2018-5-30,31
2018-6-6,30
2018-6-13,30
2018-6-20,35
2018-6-27,37
2018-7-4,34
2018-7-11,32
2018-7-18,35
2018-7-25,37
2018-8-1,34
2018-8-8,35
2018-8-15,36
2018-8-22,37
2018-8-29,33
2018-9-5,30
2018-9-12,23
2018-9-19,24
2018-9-26,25
2018-10-3,27
2018-10-10,21
2018-10-17,22
2018-10-24,23
2018-10-31,22
2018-11-7,27
2018-11-14,22
2018-11-21,22
2018-11-28,27
2018-12-5,30
2018-12-12,33
2018-12-19,34
2018-12-26,35
2019-1-2,37
2019-1-9,35
2019-1-16,30
2019-1-23,29
2019-1-30,27
2019-2-6,36
2019-2-13,38
2019-2-20,32
2019-2-27,27
2019-3-6,25
2019-3-13,24
2019-3-20,25
2019-3-27,25
2019-4-3,26
2019-4-10,31
2019-4-17,39
2019-4-24,43
2019-5-1,39
2019-5-8,40
2019-5-15,42
2019-5-22,44
2019-5-29,47
2019-6-5,44
2019-6-12,46
2019-6-19,49
2019-6-26,52
2019-7-3,51
2019-7-10,47
2019-7-17,39
2019-7-24,31
2019-7-31,28
2019-8-7,33
2019-8-14,37
2019-8-21,35
2019-8-28,34
2019-9-4,33
2019-9-11,30
2019-9-18,32
2019-9-25,29
2019-10-2,32
2019-10-9,36
2019-10-16,37
2019-10-23,37
2019-10-30,38
2019-11-6,34
2019-11-13,36
2019-11-20,36
2019-11-27,33
2019-12-4,34
2019-12-11,32
2019-12-18,27
2019-12-25,25
2020-1-1,22
2020-1-8,19
2020-1-15,19
2020-1-22,20
2020-1-29,24
2020-2-5,27
2020-2-12,26
2020-2-19,24
2020-2-26,25
2020-3-4,24
2020-3-11,27
2020-3-18,29
2020-3-25,26
2020-4-1,23
2020-4-8,22
2020-4-15,26
