date,PTA
2017/4/30,449.52
2017/5/14,421.2225
2017/5/21,415.6825
2017/5/28,406.115
2017/6/11,384.365
2017/6/18,373.1025
2017/6/25,357.7675
2017/7/2,345.3325
2017/7/9,316.17
2017/7/16,280.4275
2017/7/30,260.695
2017/8/6,237.69
2017/8/13,232.315
2017/8/20,192.505
2017/8/27,156.785
2017/9/3,143.0125
2017/9/10,126.2175
2017/9/17,119.87
2017/9/24,85.0775
2017/10/1,93.5975
2017/10/15,100.34
2017/10/22,97.32
2017/10/29,96.235
2017/11/5,69.7075
2017/11/12,67.9235
2017/11/19,68.447
2017/11/26,65.14
2017/12/3,61.1135
2017/12/10,54.807
2017/12/17,49.81
2017/12/24,50.0025
2017/12/31,54.2965
2018/1/7,53.5965
2018/1/14,52.3515
2018/1/21,53.7545
2018/1/28,57.5095
2018/2/4,59.9085
2018/2/25,68.5275
2018/3/4,75.5105
2018/3/11,78.099
2018/3/18,78.596
2018/3/25,105.2594
2018/4/1,111.132
2018/4/8,111.132
2018/4/15,130.6698
2018/4/22,129.012
2018/4/29,125.1944444
2018/5/6,123.096
2018/5/20,122.1355
2018/5/27,118.1033
2018/6/3,106.8072
2018/6/10,99.109
2018/6/17,96.059
2018/6/24,94.4265
2018/7/1,92.587
2018/7/8,90.8995
2018/7/15,87.321
2018/7/22,82.1085
2018/7/29,80.973
2018/8/5,80.579
2018/8/12,71.802
2018/8/19,66.3555
2018/8/26,64.1155
2018/9/2,65.1475
2018/9/9,71.803
2018/9/16,69.6715
2018/9/23,71.044
2018/9/30,75.9635
2018/10/14,105.7395
2018/10/21,104.0748
2018/10/28,105.976
2018/11/4,103.0815
2018/11/11,101.0152
2018/11/18,97.2833
2018/11/25,95.7262
2018/12/2,94.6817
2018/12/9,87.9302
2018/12/16,85.9021
2018/12/23,86.9156
2018/12/30,92.0975
2019/1/6,90.6506
2019/1/13,100.7477
2019/1/20,97.6795
2019/1/27,105.1318
2019/2/3,105.1318
2019/2/10,128.993
2019/2/17,126.875
2019/2/24,124.1835
2019/3/3,122.886
2019/3/10,121.2495
2019/3/17,122.4372
2019/3/24,123.8366
2019/3/31,121.4689
2019/4/7,118.582
2019/4/14,117
2019/4/21,119.8
2019/4/28,123
2019/5/12,127.8
2019/5/19,131.5
2019/5/26,129
2019/6/2,131
2019/6/9,131.7
2019/6/16,131
2019/6/23,133.6
2019/6/30,135
2019/7/7,133
2019/7/14,135
2019/7/21,137
2019/7/28,140
2019/8/4,137
2019/8/11,136
2019/8/18,133
2019/8/25,132.6
2019/9/1,135
2019/9/8,137
2019/9/15,140
2019/9/22,142
2019/9/29,139
2019/10/13,135.6
